"Use integer for row %1 stock value","%1件目 在庫数は整数で指定してください。"
"Marketplace Mass Upload","商品データインポート"
"Starting Execution...","実行開始"
"Please don't close or refresh the window while importing products.","商品インポート中はこちらの画面を閉じないでください。"
"Total %1 Product(s) to import.","合計%1件インポート"
"Importing <span class=""wk-current"">1</span> of %1","%1件中<span class=""wk-current"">1</span>件完了"
"Completed","インポート完了"
"Skipped row %1. %2 can not be empty.","%1行目をスキップしました。%2は空で登録できません。"
"Total %1 Product(s) Imported.","合計%1件の商品をインポートしました。"
"Finished Execution.","実行完了"
"Mass Uploaded Profile(s) List","アップロードした商品CSV一覧"
"Select Profile(s) to be deleted","削除するCSVを選択してください"
"Export Products (csv file format)","商品データエクスポート"
"*It may take some time to output.","※出力には時間がかかることがあります。"
"Click the Export button to output the product data in CSV format.","エクスポートボタンをクリックすると、商品データをCSV形式で出力します。"
"Split files larger than 10MB","10MB以上のファイルは分割してください"
